Artichoke, Cabbage,,,,,,,,
Chayote, Radicchio,,,,,,,,
Green onion, Collard greens,,,,,,,,
Green beans, Red chili pepper, Bell pepper,,,,,,,
Leek, Spinach,,,,,,,,
Celery, Red onion,,,,,,,,
Red chili pepper, Chayote,,,,,,,,
Beetroot, Zucchini,,,,,,,,
Red cabbage, Asparagus, Cactus pear, Beetroot,,,,,,
Asparagus, Pepper, Carrot, Chayote,,,,,,
Cactus pear, Carrot, Zucchini,,,,,,,
Collard greens, Yellow squash, Asparagus,,,,,,,
Collard greens, Beans,,,,,,,,
Bamboo shoots, Bean sprouts,,,,,,,,
Radish, Zucchini,,,,,,,,
Mushroom, Escarole,,,,,,,,
Cauliflower, Cactus pear,,,,,,,,
Yellow squash, Pepper,,,,,,,,
Corn, Garlic,,,,,,,,
Artichoke, Green beans,,,,,,,,
Asparagus, Garlic,,,,,,,,
Carrot, Red cabbage,,,,,,,,
Radicchio, Cucumber,,,,,,,,
Bamboo shoots, Red onion, Carrot,,,,,,,
Spinach, Cactus pear, Corn,,,,,,,
Carrot, Bell pepper, Artichoke,,,,,,,
Tomato, Artichoke, Collard greens,,,,,,,
Red chili pepper, Green onion, Asparagus, Endive,,,,,,
Cactus pear, Celery, Artichoke, Yam,,,,,,
Cabbage, Leek, Chayote, Lettuce,,,,,,
Radicchio, Bamboo shoots, Carrot, Pea,,,,,,
Parsnip, Leek,,,,,,,,
Carrot, Spinach,,,,,,,,
Bell pepper, Brussels sprouts, Eggplant,,,,,,,
Green onion, Sweet potato, Beetroot,,,,,,,
Potato, Eggplant, Corn,,,,,,,
Bell pepper, Artichoke,,,,,,,,
Sweet potato, Collard greens,,,,,,,,
Corn, Cabbage,,,,,,,,
Celery, Beans, Collard greens,,,,,,,
Artichoke, Red chili pepper, Mushroom,,,,,,,
Bean sprouts, Brussels sprouts, Spinach,,,,,,,
Cabbage, Brussels sprouts, Pumpkin,,,,,,,
Leek, Celery,,,,,,,,
Leek, Corn,,,,,,,,
Parsnip, Red onion,,,,,,,,
Asparagus, Red chili pepper,,,,,,,,
Yam, Red cabbage, Red chili pepper, Tomato,,,,,,
Pumpkin, Spinach, Mushroom, Asparagus,,,,,,
Endive, Bell pepper, Yam,,,,,,,
Cucumber, Yellow squash, Pepper,,,,,,,
Cucumber, Endive,,,,,,,,
Carrot, Brussels sprouts,,,,,,,,
Escarole, Mushroom,,,,,,,,
Green onion, Potato,,,,,,,,
Eggplant, Corn, Yam,,,,,,,
Endive, Cucumber, Collard greens,,,,,,,
Lettuce, Spinach, Garlic,,,,,,,
Potato, Yam, Spinach,,,,,,,
Pea, Pepper, Beans,,,,,,,
Onion, Leek,,,,,,,,
Yellow squash, Asparagus,,,,,,,,
Lettuce, Corn,,,,,,,,
Broccoli, Zucchini, Endive,,,,,,,
Corn, Broccoli, Collard greens,,,,,,,
Cactus pear, Eggplant, Bamboo shoots,,,,,,,
Beans, Beetroot, Carrot,,,,,,,
Cactus pear, Mushroom,,,,,,,,
Parsnip, Leek,,,,,,,,
Radicchio, Bell pepper,,,,,,,,
Red onion, Red cabbage,,,,,,,,
Beetroot, Garlic,,,,,,,,
Endive, Mushroom,,,,,,,,
Zucchini, Pumpkin, Garlic,,,,,,,
Red onion, Green beans, Cucumber,,,,,,,
Escarole, Leek, Radicchio,,,,,,,
Cucumber, Onion,,,,,,,,
Red onion, Beetroot,,,,,,,,
Onion, Cactus pear,,,,,,,,
Pea, Zucchini, Parsnip, Collard greens,,,,,,
Chayote, Yellow squash, Onion, Cauliflower,,,,,,
Celery, Bamboo shoots, Tomato, Radicchio,,,,,,
Onion, Cauliflower, Tomato, Red chili pepper,,,,,,
Sweet potato, Escarole,,,,,,,,
Tomato, Potato,,,,,,,,
Mushroom, Cucumber,,,,,,,,
Brussels sprouts, Red onion,,,,,,,,
Red chili pepper, Asparagus, Red cabbage,,,,,,,
Bean sprouts, Sweet potato, Radish,,,,,,,
Pepper, Corn, Green beans,,,,,,,
Mushroom, Beetroot, Corn, Bean sprouts,,,,,,
Leek, Parsnip, Pepper, Cucumber,,,,,,
Corn, Artichoke, Brussels sprouts, Asparagus,,,,,,
Spinach, Bean sprouts, Red onion, Leek, Collard greens,,,,,
Cauliflower, Yam, Cactus pear, Cucumber, Garlic,,,,,
Endive, Artichoke, Spinach, Bell pepper, Celery,,,,,
Red cabbage, Lettuce,,,,,,,,
Green beans, Radish,,,,,,,,
Endive, Red cabbage,,,,,,,,
Carrot, Pumpkin,,,,,,,,
Escarole, Sweet potato,,,,,,,,
Bell pepper, Cabbage,,,,,,,,
Pumpkin, Cactus pear, Radicchio,,,,,,,
Eggplant, Zucchini, Onion,,,,,,,
Mushroom, Onion, Brussels sprouts,,,,,,,
Radicchio, Red cabbage, Tomato, Radish,,,,,,
Bean sprouts, Lettuce, Red chili pepper, Bamboo shoots,,,,,,
Pumpkin, Green beans, Pepper, Endive,,,,,,
Radicchio, Collard greens,,,,,,,,
Broccoli, Sweet potato,,,,,,,,
Radish, Cucumber,,,,,,,,
Carrot, Bamboo shoots,,,,,,,,
Mushroom, Leek, Pumpkin,,,,,,,
Cactus pear, Corn, Parsnip,,,,,,,
Onion, Radish, Sweet potato,,,,,,,
Carrot, Broccoli, Bell pepper,,,,,,,
Green onion, Chayote, Broccoli, Cauliflower,,,,,,
Parsnip, Carrot, Broccoli, Cactus pear,,,,,,
Tomato, Yellow squash, Garlic, Celery,,,,,,
Green beans, Pepper, Red chili pepper, Cabbage,,,,,,
Red cabbage, Yam, Beetroot, Cabbage,,,,,,
Onion, Corn, Celery, Pumpkin,,,,,,
Collard greens, Mushroom,,,,,,,,
Pepper, Radicchio,,,,,,,,
Lettuce, Bell pepper,,,,,,,,
Cucumber, Radish,,,,,,,,
Tomato, Escarole,,,,,,,,
Leek, Celery, Tomato,,,,,,,
Carrot, Corn, Red cabbage,,,,,,,
Zucchini, Radish, Collard greens,,,,,,,
Cauliflower, Zucchini, Tomato,,,,,,,
Yam, Asparagus, Onion,,,,,,,
Brussels sprouts, Broccoli, Garlic, Collard greens,,,,,,
Mushroom, Endive, Garlic, Escarole,,,,,,
Asparagus, Red cabbage, Green onion, Bamboo shoots,,,,,,
Spinach, Cabbage, Radish, Lettuce,,,,,,
Pepper, Red chili pepper,,,,,,,,
Green onion, Lettuce,,,,,,,,
Onion, Sweet potato,,,,,,,,
Zucchini, Yellow squash,,,,,,,,
Bell pepper, Zucchini,,,,,,,,
Bamboo shoots, Cactus pear,,,,,,,,
Carrot, Artichoke, Red cabbage,,,,,,,
Green onion, Garlic, Spinach,,,,,,,
Bean sprouts, Onion, Red onion,,,,,,,
Cucumber, Radish, Radicchio, Zucchini,,,,,,
Corn, Red cabbage, Beans, Onion,,,,,,
Artichoke, Cabbage, Cucumber, Yam,,,,,,
Celery, Yellow squash, Sweet potato, Spinach, Pumpkin,,,,,
Red cabbage, Green onion, Broccoli, Bell pepper, Escarole,,,,,
Red chili pepper, Green beans, Broccoli, Cabbage, Asparagus,,,,,
Collard greens, Lettuce, Cabbage, Bean sprouts, Garlic, Brussels sprouts,,,,
Lettuce, Red onion, Potato, Green onion, Brussels sprouts, Pepper,,,,
Tomato, Potato,,,,,,,,
Green onion, Cucumber,,,,,,,,
Cabbage, Collard greens,,,,,,,,
Cucumber, Cactus pear,,,,,,,,
Red chili pepper, Bamboo shoots, Red cabbage,,,,,,,
Bamboo shoots, Red onion, Red chili pepper,,,,,,,
Lettuce, Zucchini, Beetroot,,,,,,,
Brussels sprouts, Cauliflower, Bell pepper,,,,,,,
Collard greens, Celery,,,,,,,,
Beans, Escarole,,,,,,,,
Red onion, Potato,,,,,,,,
Green beans, Green onion, Broccoli,,,,,,,
Zucchini, Cabbage, Broccoli,,,,,,,
Beetroot, Bamboo shoots, Pea,,,,,,,
Sweet potato, Carrot, Pepper,,,,,,,
Beans, Beetroot,,,,,,,,
Pea, Potato,,,,,,,,
Bell pepper, Brussels sprouts,,,,,,,,
Broccoli, Zucchini,,,,,,,,
Yellow squash, Brussels sprouts, Chayote, Sweet potato,,,,,,
Mushroom, Carrot, Yam, Chayote,,,,,,
Cauliflower, Garlic, Chayote, Beans,,,,,,
Potato, Radish, Sweet potato, Parsnip,,,,,,
Mushroom, Bean sprouts, Cucumber,,,,,,,
Bell pepper, Corn, Yellow squash,,,,,,,
Radish, Garlic, Potato,,,,,,,
Beans, Mushroom, Bamboo shoots,,,,,,,
Endive, Red cabbage,,,,,,,,
Corn, Yam,,,,,,,,
Parsnip, Celery,,,,,,,,
Pea, Onion,,,,,,,,
Potato, Red onion, Radish,,,,,,,
Bamboo shoots, Lettuce, Pumpkin,,,,,,,
Green beans, Beetroot, Sweet potato,,,,,,,
Chayote, Brussels sprouts, Bamboo shoots,,,,,,,
Asparagus, Red onion,,,,,,,,
Escarole, Red chili pepper,,,,,,,,
Parsnip, Bamboo shoots,,,,,,,,
Mushroom, Spinach,,,,,,,,
Yam, Lettuce, Potato, Green beans,,,,,,
Collard greens, Yam, Bell pepper, Garlic,,,,,,
Radish, Yellow squash, Brussels sprouts, Green beans,,,,,,
Bean sprouts, Collard greens, Cabbage, Pepper,,,,,,
Bamboo shoots, Pepper, Carrot,,,,,,,
Beans, Garlic, Sweet potato,,,,,,,
Beans, Pepper, Green onion,,,,,,,
Pea, Artichoke, Bell pepper,,,,,,,
Endive, Leek,,,,,,,,
Beans, Green onion,,,,,,,,
Artichoke, Beetroot,,,,,,,,
Leek, Onion,,,,,,,,
Bell pepper, Cucumber, Red chili pepper,,,,,,,
Eggplant, Brussels sprouts, Onion,,,,,,,
Chayote, Broccoli, Beetroot,,,,,,,
Radicchio, Chayote,,,,,,,,
Red cabbage, Artichoke,,,,,,,,
Potato, Red cabbage,,,,,,,,
Brussels sprouts, Zucchini,,,,,,,,
Red onion, Beetroot,,,,,,,,
Red chili pepper, Mushroom, Bamboo shoots,,,,,,,
Endive, Red cabbage, Chayote,,,,,,,
Red cabbage, Parsnip, Corn,,,,,,,
Chayote, Beetroot, Asparagus,,,,,,,
Bell pepper, Leek, Beetroot,,,,,,,
Lettuce, Cucumber,,,,,,,,
Mushroom, Red onion,,,,,,,,
Beans, Chayote,,,,,,,,
Corn, Potato,,,,,,,,
Tomato, Endive,,,,,,,,
Pumpkin, Red onion,,,,,,,,
Leek, Mushroom, Garlic,,,,,,,
Asparagus, Corn, Potato,,,,,,,
Brussels sprouts, Carrot, Eggplant,,,,,,,
Spinach, Leek, Pumpkin,,,,,,,
Garlic, Cabbage,,,,,,,,
Lettuce, Yellow squash,,,,,,,,
Cactus pear, Artichoke,,,,,,,,
Pumpkin, Yam,,,,,,,,
Carrot, Radicchio,,,,,,,,
Red onion, Cactus pear, Tomato, Beans,,,,,,
Red onion, Parsnip, Broccoli, Collard greens,,,,,,
Collard greens, Endive, Bamboo shoots, Green onion,,,,,,
Zucchini, Yam, Radish, Eggplant,,,,,,
Bell pepper, Eggplant,,,,,,,,
Radish, Pepper,,,,,,,,
Potato, Eggplant,,,,,,,,
Brussels sprouts, Collard greens,,,,,,,,
Lettuce, Garlic,,,,,,,,
Green onion, Escarole,,,,,,,,
Corn, Green onion, Bamboo shoots, Bean sprouts,,,,,,
Spinach, Cabbage, Leek, Radicchio,,,,,,
Tomato, Radicchio, Eggplant, Beans,,,,,,
Green onion, Zucchini, Yam, Spinach,,,,,,
Asparagus, Pea,,,,,,,,
Celery, Zucchini,,,,,,,,
Beans, Mushroom,,,,,,,,
Corn, Artichoke,,,,,,,,
Red chili pepper, Potato, Parsnip,,,,,,,
Radish, Carrot, Corn,,,,,,,
Red cabbage, Pea, Green onion,,,,,,,
Eggplant, Bean sprouts, Green beans,,,,,,,
Collard greens, Green beans,,,,,,,,
Pepper, Beetroot,,,,,,,,
Cabbage, Broccoli,,,,,,,,
Corn, Cauliflower,,,,,,,,
Endive, Carrot,,,,,,,,
Bamboo shoots, Corn,,,,,,,,
Carrot, Pumpkin,,,,,,,,
Cactus pear, Radish,,,,,,,,
Carrot, Pumpkin, Leek,,,,,,,
Beans, Red cabbage, Bell pepper,,,,,,,
Pea, Yellow squash, Leek,,,,,,,
Chayote, Asparagus, Broccoli,,,,,,,
Beans, Radish, Endive, Spinach,,,,,,
Yellow squash, Bamboo shoots, Collard greens, Tomato,,,,,,
Red cabbage, Onion, Tomato, Pea,,,,,,
Radicchio, Artichoke, Bell pepper, Green onion,,,,,,
Celery, Red cabbage, Garlic, Potato,,,,,,
Red cabbage, Cucumber, Pea, Sweet potato,,,,,,
Potato, Yellow squash,,,,,,,,
Beetroot, Beans,,,,,,,,
Pepper, Cucumber,,,,,,,,
Collard greens, Brussels sprouts,,,,,,,,
Cauliflower, Cucumber, Celery,,,,,,,
Sweet potato, Bamboo shoots, Onion,,,,,,,
Red chili pepper, Bamboo shoots, Corn,,,,,,,
Red cabbage, Onion, Cauliflower,,,,,,,
Radish, Cabbage, Cactus pear, Broccoli,,,,,,
Bean sprouts, Pepper, Asparagus, Onion,,,,,,
Eggplant, Yellow squash, Cucumber, Green beans,,,,,,
Red cabbage, Lettuce, Red chili pepper, Tomato, Asparagus, Green beans, Cactus pear,,,
Red cabbage, Radish, Yellow squash, Asparagus, Chayote, Bamboo shoots, Lettuce,,,
Endive, Cactus pear,,,,,,,,
Red chili pepper, Endive,,,,,,,,
Carrot, Garlic,,,,,,,,
Lettuce, Celery,,,,,,,,
Broccoli, Asparagus,,,,,,,,
Green onion, Yam, Bamboo shoots,,,,,,,
Beetroot, Cucumber, Corn,,,,,,,
Beans, Broccoli, Sweet potato,,,,,,,
Leek, Cactus pear, Pea,,,,,,,
Cucumber, Bamboo shoots,,,,,,,,
Mushroom, Pea,,,,,,,,
Zucchini, Pea,,,,,,,,
Green beans, Escarole,,,,,,,,
Escarole, Radicchio, Leek,,,,,,,
Cucumber, Green onion, Garlic,,,,,,,
Leek, Garlic, Asparagus,,,,,,,
Cucumber, Pepper, Bean sprouts, Corn,,,,,,
Yam, Mushroom, Red chili pepper, Escarole,,,,,,
Eggplant, Parsnip, Cactus pear, Green beans,,,,,,
Pea, Brussels sprouts,,,,,,,,
Red cabbage, Artichoke,,,,,,,,
Lettuce, Parsnip,,,,,,,,
Beetroot, Endive,,,,,,,,
Beans, Cauliflower, Pepper, Carrot, Onion,,,,,
Beetroot, Spinach, Escarole, Cactus pear, Cabbage,,,,,
Lettuce, Beans, Red chili pepper, Yam, Red onion,,,,,
Cabbage, Collard greens, Zucchini, Tomato, Pepper,,,,,
Collard greens, Carrot,,,,,,,,
Potato, Bamboo shoots,,,,,,,,
Cactus pear, Radicchio,,,,,,,,
Leek, Corn,,,,,,,,
Lettuce, Green onion,,,,,,,,
Chayote, Eggplant, Yellow squash,,,,,,,
Garlic, Bell pepper, Green beans,,,,,,,
Bean sprouts, Leek, Pepper,,,,,,,
Parsnip, Cauliflower, Beetroot,,,,,,,
Pepper, Potato, Corn, Green onion,,,,,,
Beans, Radish, Endive, Asparagus,,,,,,
Red cabbage, Cactus pear, Cabbage, Corn,,,,,,
Beans, Spinach, Mushroom, Bell pepper, Celery, Cactus pear, Radish, Carrot,,
Cactus pear, Broccoli, Carrot, Red chili pepper, Corn, Radicchio, Chayote, Mushroom,,
Chayote, Corn, Bell pepper, Garlic, Pea, Red onion, Cauliflower, Green beans,,
Brussels sprouts, Beans, Zucchini, Radish, Carrot, Red cabbage, Parsnip, Pumpkin,,
Artichoke, Red cabbage, Sweet potato, Chayote, Bean sprouts, Carrot, Corn, Endive,,
Green beans, Pea,,,,,,,,
Bamboo shoots, Lettuce,,,,,,,,
Asparagus, Tomato,,,,,,,,
Corn, Onion,,,,,,,,
Endive, Cauliflower, Pea,,,,,,,
Artichoke, Pepper, Bell pepper,,,,,,,
Radicchio, Celery, Bean sprouts,,,,,,,
Brussels sprouts, Bamboo shoots, Asparagus,,,,,,,
Bell pepper, Garlic, Parsnip, Red chili pepper,,,,,,
Pumpkin, Lettuce, Cauliflower, Cucumber,,,,,,
Yam, Bell pepper, Sweet potato, Pepper,,,,,,
Radish, Cabbage, Pea, Beetroot,,,,,,
Green onion, Bell pepper, Pumpkin, Lettuce, Leek, Yam, Red onion, Garlic, Yellow squash, Zucchini
Collard greens, Artichoke, Celery, Beetroot, Zucchini, Tomato, Radicchio, Broccoli, Escarole, Bell pepper
Carrot, Green onion, Red chili pepper, Bamboo shoots, Endive, Collard greens, Parsnip, Pea, Garlic, Zucchini
Bean sprouts, Leek,,,,,,,,
Yellow squash, Zucchini,,,,,,,,
Yellow squash, Red cabbage,,,,,,,,
Radish, Radicchio,,,,,,,,
Red cabbage, Red chili pepper, Onion,,,,,,,
Corn, Bamboo shoots, Potato,,,,,,,
Yam, Mushroom, Celery,,,,,,,
Endive, Zucchini, Cauliflower,,,,,,,
Zucchini, Beans, Pepper, Green beans, Cactus pear,,,,,
Radicchio, Tomato, Bamboo shoots, Bell pepper, Red onion,,,,,
Red cabbage, Sweet potato, Spinach, Celery, Onion,,,,,
Broccoli, Cabbage, Pepper, Pea, Cactus pear,,,,,
Pea, Radish,,,,,,,,
Cauliflower, Radish,,,,,,,,
Mushroom, Cucumber,,,,,,,,
Artichoke, Spinach,,,,,,,,
Escarole, Artichoke,,,,,,,,
Green onion, Red chili pepper, Pea, Bamboo shoots,,,,,,
Brussels sprouts, Zucchini, Corn, Bamboo shoots,,,,,,
Broccoli, Beetroot, Collard greens, Mushroom,,,,,,
Pea, Red onion, Endive,,,,,,,
Yellow squash, Yam, Onion,,,,,,,
Onion, Beetroot, Red chili pepper,,,,,,,
Endive, Zucchini, Mushroom,,,,,,,
Escarole, Beetroot,,,,,,,,
Garlic, Pumpkin,,,,,,,,
Yellow squash, Bell pepper,,,,,,,,
Onion, Brussels sprouts,,,,,,,,
Celery, Lettuce, Cactus pear, Yam,,,,,,
Pumpkin, Sweet potato, Cauliflower, Broccoli,,,,,,
Lettuce, Radicchio, Collard greens, Yellow squash,,,,,,
Tomato, Cactus pear, Yellow squash, Eggplant,,,,,,
Escarole, Bell pepper, Cactus pear, Cabbage, Parsnip,,,,,
Yellow squash, Red cabbage, Collard greens, Artichoke, Escarole,,,,,
Red onion, Garlic, Green beans, Radicchio, Potato,,,,,
Green beans, Red onion,,,,,,,,
Beans, Onion,,,,,,,,
Radish, Red chili pepper,,,,,,,,
Red onion, Spinach, Artichoke,,,,,,,
Potato, Parsnip, Celery,,,,,,,
Mushroom, Collard greens, Sweet potato,,,,,,,
Spinach, Carrot, Mushroom,,,,,,,
Garlic, Red cabbage,,,,,,,,
Zucchini, Cactus pear,,,,,,,,
Carrot, Beetroot,,,,,,,,
Beans, Tomato,,,,,,,,
Lettuce, Bell pepper,,,,,,,,
Beetroot, Chayote, Beans, Green onion,,,,,,
Radicchio, Bean sprouts, Cucumber, Asparagus,,,,,,
Collard greens, Brussels sprouts, Eggplant, Parsnip,,,,,,
Beans, Potato, Lettuce, Carrot,,,,,,
Tomato, Pea, Cactus pear,,,,,,,
Collard greens, Yam, Carrot,,,,,,,
Cucumber, Red cabbage, Cabbage,,,,,,,
Beans, Cauliflower, Spinach,,,,,,,
Broccoli, Carrot,,,,,,,,
Corn, Green onion,,,,,,,,
Pumpkin, Potato,,,,,,,,
Leek, Red chili pepper,,,,,,,,
Mushroom, Garlic,,,,,,,,
Bell pepper, Escarole, Zucchini,,,,,,,
Pepper, Bell pepper, Beetroot,,,,,,,
Beetroot, Pumpkin, Cucumber,,,,,,,
Artichoke, Mushroom, Cucumber, Beans, Brussels sprouts,,,,,
Radish, Cabbage, Artichoke, Green beans, Yellow squash,,,,,
Celery, Mushroom, Yam, Green beans, Zucchini,,,,,
Yellow squash, Celery,,,,,,,,
Cucumber, Corn,,,,,,,,
Artichoke, Green onion,,,,,,,,
Cauliflower, Pepper, Potato,,,,,,,
Beans, Garlic, Green beans,,,,,,,
Brussels sprouts, Chayote, Red onion,,,,,,,
Radicchio, Leek, Potato,,,,,,,
Onion, Radish, Radicchio,,,,,,,
Garlic, Collard greens, Radish,,,,,,,
Mushroom, Lettuce, Garlic, Cactus pear,,,,,,
Yellow squash, Mushroom, Red chili pepper, Cabbage,,,,,,
Zucchini, Escarole, Pea, Chayote,,,,,,
Tomato, Beans, Chayote, Zucchini, Spinach,,,,,
Radish, Bean sprouts, Bell pepper, Escarole, Corn,,,,,
Celery, Collard greens, Potato, Zucchini, Broccoli,,,,,
Endive, Corn, Sweet potato, Bell pepper, Cauliflower,,,,,
Bamboo shoots, Leek,,,,,,,,
Green beans, Parsnip,,,,,,,,
Collard greens, Carrot,,,,,,,,
Cactus pear, Green beans,,,,,,,,
Red onion, Red cabbage,,,,,,,,
Beans, Bell pepper,,,,,,,,
Bamboo shoots, Beetroot, Brussels sprouts,,,,,,,
Carrot, Parsnip, Bell pepper,,,,,,,
Cucumber, Leek, Artichoke, Radish,,,,,,
Endive, Pea, Red chili pepper, Red onion,,,,,,
Mushroom, Red chili pepper, Endive, Sweet potato,,,,,,
Cabbage, Red onion,,,,,,,,
Celery, Collard greens,,,,,,,,
Carrot, Radish,,,,,,,,
Radish, Beetroot,,,,,,,,
Bamboo shoots, Endive,,,,,,,,
Parsnip, Red chili pepper, Bamboo shoots, Radish,,,,,,
Zucchini, Red cabbage, Bean sprouts, Red onion,,,,,,
Artichoke, Beetroot, Onion, Cabbage,,,,,,
Pumpkin, Pea, Zucchini,,,,,,,
Bell pepper, Pepper, Bean sprouts,,,,,,,
Pumpkin, Eggplant, Brussels sprouts,,,,,,,
Yam, Beetroot, Cauliflower,,,,,,,
Onion, Artichoke, Corn,,,,,,,
Cauliflower, Endive,,,,,,,,
Onion, Asparagus,,,,,,,,
Beans, Bamboo shoots,,,,,,,,
Bamboo shoots, Endive,,,,,,,,
Radish, Red cabbage, Collard greens,,,,,,,
Yellow squash, Cucumber, Lettuce,,,,,,,
Potato, Beetroot, Endive,,,,,,,
Radish, Green beans, Red cabbage,,,,,,,
Radish, Collard greens, Spinach, Bell pepper, Onion,,,,,
Broccoli, Collard greens, Yam, Red onion, Carrot,,,,,
Carrot, Collard greens, Potato, Escarole, Tomato,,,,,
Cauliflower, Zucchini, Red cabbage, Bean sprouts, Red onion,,,,,
Green onion, Cactus pear, Garlic, Radicchio, Potato, Parsnip,,,,
Red cabbage, Artichoke, Cactus pear, Spinach, Radish, Lettuce,,,,
Radicchio, Cabbage, Endive, Lettuce, Collard greens, Pumpkin,,,,
Endive, Leek, Onion, Potato, Garlic, Tomato,,,,
Chayote, Mushroom,,,,,,,,
Mushroom, Endive,,,,,,,,
Potato, Bell pepper,,,,,,,,
Yam, Potato,,,,,,,,
Green onion, Pumpkin,,,,,,,,
Red onion, Radicchio,,,,,,,,
Spinach, Red onion, Bean sprouts,,,,,,,
Celery, Leek, Garlic,,,,,,,
Red onion, Yam, Potato,,,,,,,
Green beans, Red chili pepper, Brussels sprouts,,,,,,,
Asparagus, Red cabbage, Broccoli,,,,,,,
Beetroot, Pepper, Eggplant, Brussels sprouts,,,,,,
Pumpkin, Lettuce, Beetroot, Carrot,,,,,,
Broccoli, Celery, Lettuce, Red onion,,,,,,
Endive, Radicchio, Garlic, Pea,,,,,,
Corn, Leek,,,,,,,,
Celery, Yellow squash,,,,,,,,
Red cabbage, Red onion,,,,,,,,
Cucumber, Tomato,,,,,,,,
Red cabbage, Yellow squash,,,,,,,,
Beans, Radish, Beetroot, Green onion, Tomato,,,,,
Potato, Green onion, Sweet potato, Red onion, Chayote,,,,,
